,,,,,,
,Teste,Threads,Serial (s),Paralelo (s),SppedUp,Eficiência 
,100 300 4000,1,"8,898","5,321","1,67224206","1,67224206"
,,2,"8,898","4,724","1,883573243","0,9417866215"
,,3,"8,898","1,922","4,629552549","1,543184183"
,,4,"8,898","2,556","3,481220657","0,8703051643"
,200 400 8000,1,"13,95","10,486","1,330345222","1,330345222"
,,2,"13,95","6,822","2,044854881","1,022427441"
,,3,"13,95","5,444","2,562454078","0,8541513593"
,,4,"13,95","4,642","3,005170185","0,7512925463"
,10 400 3000,1,"8,351","6,312","1,323035488","1,323035488"
,,2,"8,351","4,099","2,037326177","1,018663089"
,,3,"8,351","2,775","3,009369369","1,003123123"
,,4,"8,351","3,262","2,560085837","0,6400214592"
,100 1004 10000,1,"56,345","52,694","1,069286826","1,069286826"
,,2,"56,345","33,269","1,693618684","0,846809342"
,,3,"56,345","27,169","2,073870956","0,6912903186"
,,4,"56,345","23,577","2,389829071","0,5974572677"
,200 2054 9878,1,"116,531","122,008","0,955109501","0,955109501"
,,2,"116,531","71,709","1,625054038","0,8125270189"
,,3,"116,531","69,055","1,687509956","0,5625033186"
,,4,"116,531","76,525","1,522783404","0,380695851"
